
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 6995968
     t M                     N                     C                     k                 R
     0 1.                    1.                    4.995E-1              1.                1.                  0
     1 1.648721270700128147  1.647922188590109722  4.99499957453595E-1   1.32633884123778  1.                 52
     2 2.718281828459045235  2.715647308749261479  4.994998300569185E-1  1.98758158842985  1.                 53
     3 4.481689070338064823  4.475174316608128717  4.994996182043082E-1  2.69382572968215  1.                 53
     4 7.389056098930650227  7.374735302943371482  4.994993222891904E-1  2.99390587284119  1.                 55
     5 1.218249396070347E+1  1.215297965350593E+1  4.99498942704081E-1   3.01037941898435  1.072              53
     6 2.008553692318767E+1  2.002713943862466E+1  4.994984798405862E-1  3.01089926029536  1.181              53
     7 3.311545195869231E+1  3.300310896811404E+1  4.994979340894039E-1  3.01180951757645  1.292              53
     8 5.459815003314424E+1  5.438642725013256E+1  4.994973058403248E-1  3.01292422721642  1.407              54
     9 9.001713130052181E+1  8.962432878397705E+1  4.994965954822336E-1  3.01416173064342  1.523              54
    10 1.484131591025766E+2  1.476933617667417E+2  4.994958034031103E-1  3.01547941269486  1.64               53
    11 2.446919322642204E+2  2.433860452717705E+2  4.99494929990031E-1   3.01685161737954  1.758              53
    12 4.034287934927351E+2  4.010790477152202E+2  4.994939756291696E-1  3.01826178521438  1.876              54
    13 6.651416330443618E+2  6.6094275173749E+2    4.994929407057983E-1  3.01969890501357  1.995              58
    14 1.096633158428459E+3  1.089173951867892E+3  4.994918256042893E-1  3.02115559543866  2.114              54
    15 1.808042414456063E+3  1.794858214264411E+3  4.994906307081159E-1  3.02262692860287  2.233              54
    16 2.980957987041728E+3  2.957757138891679E+3  4.994893563998533E-1  3.02410965379801  2.352              54
    17 4.914768840299134E+3  4.874098537858314E+3  4.994880030611802E-1  3.02560166720303  2.471              53
    18 8.103083927575384E+3  8.032033176762541E+3  4.994865710728796E-1  3.02710164546153  2.59               55
    19 1.335972682966187E+4  1.32359782091913E+4   4.994850608148403E-1  3.02860879263707  2.709              53
    20 2.202646579480672E+4  2.181151943320996E+4  4.994834726660578E-1  3.03012266652263  2.828              54
    21 3.631550267424664E+4  3.594306355074962E+4  4.994818070046355E-1  3.0316430603841   2.947              53
    22 5.987414171519782E+4  5.923024388456315E+4  4.994800642077859E-1  3.03316992312748  3.065              54
    23 9.87157710107605E+4   9.760480033581169E+4  4.994782446518318E-1  3.03470330584091  3.183              53
    24 1.627547914190039E+5  1.608414675358529E+5  4.994763487122076E-1  3.0362433262629   3.301              54
    25 2.683372865208745E+5  2.650476980109477E+5  4.994743767634598E-1  3.03779014532229  3.418              54
    26 4.424133920089205E+5  4.367663519791994E+5  4.994723291792491E-1  3.03934395174033  3.536              54
    27 7.294163698477013E+5  7.197362958991843E+5  4.994702063323508E-1  3.04090495197745  3.653              54
    28 1.202604284164777E+6  1.18603279332709E+6   4.994680085946564E-1  3.04247336370036  3.77               54
    29 1.982759263537569E+6  1.954425045254292E+6  4.994657363371745E-1  3.04404941155484  3.887              54
